"site","rmse_all","rmse_foodshortage","rmse_foodshortagenew","rmse_foodshortagerehab","rmse_new","rmse_newrehab","rmse_rehab","nrmse_all","nrmse_foodshortage","nrmse_foodshortagenew","nrmse_foodshortagerehab","nrmse_new","nrmse_newrehab","nrmse_rehab","nrmse2_all","nrmse2_foodshortage","nrmse2_foodshortagenew","nrmse2_foodshortagerehab","nrmse2_new","nrmse2_newrehab","nrmse2_rehab","obs","mean_obs","mean_all","mean_foodshortage","mean_foodshortagenew","mean_foodshortagerehab","mean_new","mean_newrehab","mean_rehab"
"Alstonville",0.239741998720049,0.130559445908157,0.265740149105323,0.314578020411398,0.257242914609821,0.234163983333969,0.294098759814001,225.9,123,250.4,296.5,242.4,220.7,277.2,61.6,33.6,68.3,80.9,66.1,60.2,75.6,23,0.0850766701222522,0.155451358245362,0.0111540001143231,0.309236361280732,0.186049267338366,0.30056700952675,0.143466828340341,0.165345839160557
"Avoca",0.222347395504602,0.0211943154426708,0.307709125253248,0.29551521290664,0.29246990913428,0.211681541290465,0.313948726086499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0.149919709279424,0.011352000303113,0.301489770412445,0.168985024701167,0.282772761583328,0.142044559954421,0.169417498307987
"Bellingen",0.231381803757319,0.0358180636246611,0.320027001773099,0.324153044827383,0.308358023464477,0.185012920842875,0.30118454069351,925.1,143.2,1251.1,1296,1232.8,739.7,1204.1,347.1,53.7,480,486.2,462.5,277.5,451.8,18,0.0125272331154684,0.159445435179535,0.011399666802188,0.324497869493915,0.204576878283222,0.311308735498676,0.119009363555556,0.181402006034558
"Boonah",0.211181602424587,0.208818026363958,0.253931057744215,0.224949058513929,0.246166999562695,0.214567553554954,0.230499265371382,122.4,121.1,147.2,130.4,142.7,124.4,133.6,31.7,31.3,38.1,33.7,36.9,32.2,34.6,45,0.126523276897648,0.0660834502801299,0.0113534667857392,0.290860021909078,0.0538300854386762,0.284365487231149,0.0559210863957802,0.0436312580204726
"Bundaberg",0.073353107498522,0.0275094403664377,0.316674575917955,0.0441484697911272,0.307942373093108,0.0656009707020102,0.0423988934002859,347.9,130.5,1502.1,209.4,1460.7,311.2,201.1,110,41.3,475,66.2,461.9,98.4,63.6,10,0.00666666666666667,0.0599705407395959,0.0124872002721531,0.314787149429321,0.029076655220706,0.306351742148399,0.0487372444942594,0.018310988653684
"Byron Bay",0.0941831645381765,0.0933115596586615,0.285027666041305,0.0933344139792674,0.269253774731838,0.0906323508609224,0.0909590591091888,109.6,108.6,331.8,108.6,313.4,105.5,105.9,34.1,33.7,103,33.7,97.3,32.8,32.9,10,0.0406770475863647,0.0239475605466093,0.0138797998537484,0.290916043519974,0.0147293815675463,0.276229930917422,0.0109492274078851,0.000912042512845801
"Cabramatta Creek",0.278402650302356,0.0108994294099438,0.281048931494737,0.379084881925305,0.260527234740876,0.233478366714422,0.426895935273063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0.214992399637898,0.0063470000847398,0.278904356062412,0.27211264303575,0.258436694741249,0.173148796971266,0.304040005920494
"Cairns Central",0.171304238953876,0.0369067953335991,0.311939291730989,0.179327203660866,0.315536074980395,0.151719940942117,0.199242181857374,478.4,103.1,862.3,500.8,881.2,423.7,556.4,128.5,27.7,234,134.5,236.7,113.8,149.4,22,0.0268428802127862,0.10796903034277,0.0102720000015159,0.337795497879149,0.0895384962054915,0.339356350176262,0.0882958326502844,0.0868684304675271
"Charters Towers",0.0454225659001721,0.0484527573181736,0.253149554604188,0.042372854563655,0.267014635845979,0.0414913826713913,0.0442780269536237,152.4,114.9,600.4,100.5,895.6,139.2,105,68.1,48.5,253.1,42.4,400.5,62.2,44.3,6,0.0333333333333333,0.0558294575040539,0.00267300001238861,0.279042870634132,0.0141411242188446,0.280000248551369,0.0509675896416108,0.0113133309221464
"Gayndah",0.0751260694520115,0.0862159754748726,0.19832663321913,0.0812091241047055,0.183223883497055,0.081263372385741,0.094777858209215,122.9,141,324.3,132.8,299.6,132.9,155,37.6,43.1,99.2,40.6,91.6,40.6,47.4,10,0.0814516129032258,0.0477831397205591,0.0200112003512913,0.249341617524624,0.0263265583780594,0.239291749894619,0.0276541407220066,0.0058774531702511
"Hervey Bay",0.274447566025459,0.310109229007851,0.274047180016257,0.296585810577308,0.266710773905329,0.276218452881777,0.29895858528109,113.5,128.3,113.4,122.7,110.3,114.3,123.7,53.3,60.2,53.2,57.6,51.8,53.6,58,5,0.22517316017316,0.0462271258234978,0.0118932000536006,0.277851420640945,0.02292600274086,0.270601987838745,0.0336261934950016,0.00958888539375948
"Ingham",0.0719299758809311,0.0791618736881573,0.269858866567913,0.0784946006344132,0.258302467725958,0.0672741576799114,0.0781100469023903,135.9,149.5,509.7,148.3,487.9,127.1,147.5,45,49.5,168.7,49.1,161.4,42,48.8,8,0.0616666666666667,0.0321641530026682,0.016821750010422,0.32239355891943,0.0181476337020285,0.311757925897837,0.017766147328075,0.00125574952653551
"Kareela",0.181312295384834,0.0149463172257856,0.302249050507975,0.225253527152983,0.300098002379979,0.192137752110246,0.323896544428162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0.132354653750857,0.0087450003484264,0.300048475464185,0.141164863326897,0.294551211926672,0.133955434585611,0.192071090685204
"Lakeside",0.0634558478194981,0.0723163192844701,0.278415444381368,0.0686128792441495,0.269487304421629,0.0513651261987832,0.0612487891880795,125.7,143.3,551.6,135.9,533.9,101.8,121.4,38.1,43.4,167,41.2,161.7,30.8,36.7,14,0.0440476190476191,0.0395705937962269,0.0163114287492395,0.303216454173837,0.0204716628210181,0.297088511997745,0.0228540633660963,0.00413389711441899
"Lismore",0.196361214478663,0.0633362228145061,0.296271794317019,0.273732978727688,0.290454429683964,0.195931847526996,0.255035630861932,347.4,112.1,524.2,484.3,513.9,346.6,451.2,84.2,27.1,127,117.3,124.5,84,109.3,27,0.0279622356065317,0.142302053376894,0.00955533345188963,0.314255691788815,0.173334363096661,0.308339967771813,0.135404621828692,0.156852395274823
"Nambucca Heads",0.191653501585502,0.0879526417671832,0.296878763521924,0.249905165605075,0.289029167031957,0.163281092193855,0.251212242734897,262.3,122.4,409.6,347.8,402.3,227.3,349.6,95.8,44,148.4,125,144.5,81.6,125.6,29,0.0511595416641056,0.132104212437601,0.0108444828172275,0.315545267824616,0.151651747858596,0.308094451653546,0.112803203536829,0.149498513441886
"Newcastle",0.0386465504844385,0.0330160619144823,0.283260566468893,0.0334348167729686,0.273326929456906,0.0106296273634471,0.00117442988517388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0.0296273646610124,0.0216479998406222,0.278448508017593,0.0220792415978697,0.269470442618643,0.00945390083472289,0.000848919699430033
"Port Macquarie",0.205249147790245,0.0856796881423197,0.304184953336455,0.203312011487999,0.298347764746831,0.197251907208116,0.269454274334923,261.4,109.1,387.4,253.7,380,251.2,343.2,77,32.1,114.1,76.2,111.9,74,101,18,0.0438271604938272,0.158146141614351,0.0157373333297275,0.324984326130814,0.140379342072479,0.320438970294264,0.14161048294045,0.174812459040065
"Redcliffe",0.0494899553624538,0.06100189651189,0.294020368873092,0.0529783356191592,0.288820030440352,0.0402678559293433,0.0547014123763841,96.6,119,573.7,103.4,563.6,78.6,106.7,29.7,36.6,176.4,31.8,173.3,24.2,32.8,11,0.0393939393939394,0.0413260907499176,0.019968000494621,0.32196192714301,0.025113277264278,0.316104929103996,0.0225868545416178,0.0051281287715855
"Singleton",0.172778302417708,0.0558791769365406,0.230985312005256,0.292144444654254,0.220881422199989,0.169649715092135,0.310668656162524,340.7,108.2,455.4,565.5,435.5,334.5,612.6,77.8,25.1,103.9,131.5,99.4,76.3,139.8,24,0.0206431878306878,0.124928358625362,0.0151972174650797,0.23091592391332,0.178695993247633,0.218655960116949,0.114360949693946,0.186263719111695
"Sydney CP",0.163918029212714,0.0203527531041629,0.274304866358211,0.263897113837287,0.262804686215845,0.155149889957144,0.283050461127529,1204.5,149.6,2015.7,1898.4,1931.2,1140.1,2036.2,245.9,30.5,411.5,395.8,394.2,232.7,424.6,24,0.00277777777777778,0.0998449095136796,0.0115115002148135,0.270383058240016,0.132512956476295,0.258430829147498,0.0894521886172394,0.136767160785815
"Sydney RBG",0.0530531547539942,0.0481526595571939,0.237584783233409,0.0340064090626457,0.236208535293494,0.0491070867371563,0.0348847138017005,99.6,97.7,446.2,69,479.1,99.6,70.8,40.7,36.9,182.1,26.1,181.1,37.6,26.7,7,0.0186335403726708,0.0468767199975749,0.000612857153880343,0.242715679109097,0.0121151421876026,0.240076552544321,0.0375546334045274,0.0124186004873731
"Tannum Sands",0.131318272581164,0.0527382820050643,0.264081980100163,0.18358865623992,0.259056755484557,0.1346354264549,0.17755685714608,298.7,120,600.8,417.6,589.3,306.3,403.9,78.8,31.6,158.4,110.2,155.4,80.8,106.5,23,0.0261765825096424,0.101058874515466,0.00996599998514917,0.277183058469192,0.112875107141166,0.272725773894269,0.0930312159977367,0.0998061019293517
"Toowoomba",0.119831845637953,0.123092296343185,0.236099037631083,0.122918403058135,0.229383952216227,0.126677024804084,0.130801619200427,101.3,104,199.6,103.9,193.9,107.1,110.6,39.9,41,78.7,41,76.5,42.2,43.6,10,0.0675862068965517,0.0276609257981181,0.0172061999794096,0.252543486058712,0.0178834487940185,0.243853795230389,0.0108636983018368,0.000707585565978661
"Wingham",0.167290541417731,0.0965299055585512,0.27813480844289,0.226134920908796,0.268200562820656,0.160134779045509,0.245991234347683,198.6,114.6,330.2,268.5,318.4,188.5,289.5,50.2,29,83.4,67.8,80.5,48,73.8,30,0.0591409046247756,0.1200553775765,0.013952400170092,0.311209074656169,0.139131185559381,0.302525532245636,0.100874032752974,0.123081837957906
"Yeppoon",0.0670073279834265,0.0180449047447588,0.263358123141655,0.0745094574833598,0.25844861431515,0.069864506875794,0.06880744350937,328.3,88.4,1290.2,365,1266.1,342.3,337.1,134,36.1,526.7,149,516.9,139.7,137.6,6,0.00833333333333333,0.0428625755322476,0.00478499999250441,0.260029306511084,0.0353142201085575,0.255624438822269,0.039141822544237,0.0281784710403978
